iter	Passed	Remaining
0	1	1696
1	4	2000
2	5	1766
3	6	1616
4	8	1593
5	9	1553
6	10	1523
7	12	1490
8	13	1459
9	14	1434
10	15	1422
11	17	1416
12	18	1401
13	19	1393
14	21	1383
15	22	1392
16	23	1383
17	25	1373
18	26	1363
19	27	1360
20	29	1357
21	30	1351
22	31	1342
23	32	1337
24	34	1343
25	35	1337
26	37	1334
27	38	1329
28	39	1326
29	41	1326
30	42	1320
31	43	1316
32	44	1312
33	46	1308
34	47	1310
35	48	1307
36	50	1302
37	51	1302
38	52	1297
39	53	1293
40	55	1288
41	56	1284
42	57	1282
43	59	1297
44	61	1297
45	62	1297
46	63	1297
47	65	1305
48	67	1308
49	68	1308
50	70	1306
51	71	1307
52	73	1318
53	75	1315
54	76	1311
55	77	1306
56	78	1302
57	80	1301
58	81	1299
59	83	1302
60	84	1300
61	85	1299
62	87	1295
63	88	1291
64	89	1288
65	90	1285
66	92	1284
67	93	1274
68	94	1275
69	95	1275
70	97	1274
71	98	1271
72	99	1269
73	101	1267
74	102	1267
75	104	1267
76	105	1265
77	106	1263
78	108	1259
79	109	1259
80	110	1257
81	112	1260
82	113	1258
83	115	1255
84	115	1248
85	117	1248
86	118	1241
87	119	1239
88	120	1238
89	122	1239
90	124	1243
91	125	1242
92	127	1247
93	129	1247
94	130	1244
95	131	1242
96	133	1240
97	134	1238
98	135	1236
99	137	1234
100	138	1233
101	139	1226
102	140	1224
103	141	1222
104	143	1220
105	144	1217
106	145	1215
107	146	1212
108	148	1211
109	149	1209
110	150	1207
111	152	1205
112	153	1206
113	155	1207
114	156	1205
115	157	1202
116	159	1201
117	160	1200
118	162	1199
119	163	1198
120	164	1197
121	166	1197
122	167	1192
123	168	1192
124	170	1190
125	171	1188
126	172	1188
127	173	1184
128	175	1184
129	177	1185
130	178	1184
131	179	1181
132	180	1179
133	182	1179
134	184	1181
135	185	1179
136	187	1178
137	188	1175
138	189	1173
139	190	1171
140	192	1170
141	193	1168
142	194	1166
143	196	1168
144	198	1172
145	200	1170
146	201	1168
147	202	1167
148	204	1166
149	205	1164
150	206	1163
151	208	1162
152	209	1161
153	211	1161
154	213	1161
