iter	Passed	Remaining
0	131	131734
1	132	66339
2	133	44474
3	134	33527
4	135	26977
5	136	22590
6	145	20704
7	148	18362
8	151	16632
9	161	15972
10	162	14621
11	163	13478
12	164	12507
13	171	12085
14	174	11479
15	176	10845
16	177	10269
17	178	9761
18	183	9459
19	185	9085
20	187	8744
21	188	8389
22	189	8066
23	190	7758
24	191	7481
25	192	7222
26	193	6976
27	203	7068
28	205	6873
29	206	6674
30	207	6481
31	208	6301
32	209	6131
33	212	6049
34	215	5949
35	217	5811
36	218	5678
37	219	5552
38	232	5737
39	234	5622
40	245	5736
41	246	5623
42	247	5507
43	248	5399
44	249	5293
45	259	5377
46	261	5305
47	262	5208
48	263	5118
49	264	5028
50	272	5070
51	274	4999
52	275	4918
53	276	4841
54	279	4803
55	280	4732
56	287	4751
57	289	4694
58	290	4625
59	290	4557
60	292	4495
61	295	4467
62	297	4420
63	299	4381
64	300	4324
65	301	4270
66	302	4213
67	303	4157
68	304	4102
69	304	4051
70	305	4002
71	306	3953
72	318	4038
73	319	3994
74	320	3948
75	321	3903
76	321	3859
77	322	3814
78	334	3905
79	336	3866
80	337	3829
81	338	3792
82	360	3977
83	363	3968
84	365	3935
85	367	3908
86	368	3872
87	381	3950
88	382	3919
89	395	3994
90	396	3960
91	397	3925
92	399	3893
93	411	3961
94	413	3936
95	415	3911
96	420	3912
97	426	3922
98	427	3891
99	428	3860
100	430	3828
101	431	3794
102	433	3771
103	441	3806
104	443	3780
105	444	3750
106	445	3720
107	446	3690
108	457	3740
109	459	3713
110	460	3684
111	461	3656
112	462	3629
113	473	3677
114	475	3655
115	476	3627
116	476	3599
117	478	3576
118	485	3592
119	486	3568
120	487	3542
121	488	3515
122	489	3489
123	490	3468
124	491	3443
125	501	3480
126	502	3456
127	503	3432
128	504	3407
129	506	3388
130	507	3365
131	517	3405
132	519	3388
133	521	3367
134	522	3345
135	523	3323
136	535	3371
137	537	3354
138	538	3335
139	543	3338
140	547	3332
141	547	3310
142	548	3289
143	549	3268
144	550	3246
145	551	3226
146	552	3207
147	553	3186
148	554	3166
149	576	3264
150	577	3247
151	578	3229
152	581	3219
153	593	3259
154	594	3242
155	604	3269
156	605	3252
157	606	3234
158	608	3216
159	609	3198
160	620	3235
161	624	3228
162	625	3210
163	635	3240
164	637	3225
165	638	3208
166	639	3190
167	640	3173
168	647	3182
169	650	3175
170	651	3160
171	653	3143
172	654	3130
173	665	3159
174	667	3147
175	668	3130
176	669	3115
177	670	3098
178	682	3128
179	683	3112
180	684	3096
181	685	3079
182	686	3063
183	687	3048
184	702	3096
185	709	3106
186	712	3097
187	713	3083
188	715	3068
189	716	3055
190	718	3041
191	730	3072
192	731	3057
193	732	3045
194	734	3033
195	745	3059
196	746	3044
197	748	3029
198	749	3016
199	763	3054
200	765	3044
201	771	3049
202	775	3042
203	776	3029
204	777	3015
205	778	3001
206	780	2989
207	807	3076
208	809	3063
209	812	3056
210	814	3043
211	835	3106
212	837	3095
213	839	3083
214	841	3072
215	842	3058
216	844	3045
217	854	3064
218	855	3050
219	856	3037
220	872	3075
221	874	3064
222	875	3052
223	880	3050
224	887	3057
225	889	3046
226	891	3034
227	901	3052
228	902	3039
229	903	3025
230	904	3011
231	906	3001
232	907	2988
233	918	3005
234	919	2992
235	920	2979
236	921	2965
237	922	2952
238	923	2940
239	931	2949
240	932	2937
241	934	2926
242	935	2913
243	936	2900
244	937	2887
245	938	2875
246	939	2865
247	949	2879
248	959	2893
249	962	2887
250	965	2880
251	966	2868
252	968	2858
253	980	2878
254	981	2868
255	983	2857
256	984	2845
257	985	2834
258	998	2856
259	999	2844
260	1001	2836
261	1016	2862
262	1019	2856
263	1022	2851
264	1024	2841
265	1025	2830
266	1027	2820
267	1028	2809
268	1029	2797
269	1030	2786
270	1032	2777
271	1034	2767
272	1040	2769
273	1042	2762
274	1044	2752
275	1046	2744
276	1052	2746
277	1055	2740
278	1057	2731
279	1059	2724
280	1064	2723
281	1067	2718
282	1129	2860
283	1139	2873
284	1141	2863
285	1144	2858
286	1196	2971
287	1199	2964
288	1201	2956
289	1204	2948
290	1214	2958
291	1215	2948
292	1217	2937
293	1262	3032
294	1265	3023
295	1296	3083
296	1303	3085
297	1312	3092
298	1315	3083
299	1325	3092
300	1327	3082
301	1329	3072
302	1344	3093
303	1346	3083
304	1351	3080
305	1356	3077
306	1358	3066
307	1359	3055
308	1361	3044
309	1394	3103
310	1409	3123
311	1414	3119
312	1420	3118
313	1422	3108
314	1425	3098
315	1426	3088
316	1438	3100
317	1441	3091
318	1451	3099
319	1454	3090
320	1456	3080
321	1458	3070
322	1462	3066
323	1464	3056
324	1467	3048
325	1476	3052
326	1478	3043
327	1480	3033
328	1482	3024
329	1495	3037
330	1498	3027
331	1508	3035
332	1511	3027
333	1512	3016
334	1539	3056
335	1541	3046
336	1543	3036
337	1544	3025
338	1546	3015
339	1558	3024
340	1560	3015
341	1566	3014
342	1571	3010
343	1573	3000
344	1574	2989
345	1576	2979
346	1585	2983
347	1588	2975
348	1591	2967
349	1592	2957
350	1596	2951
351	1600	2946
352	1601	2936
353	1603	2926
354	1606	2918
355	1614	2920
356	1616	2912
357	1618	2901
358	1619	2891
359	1620	2880
360	1621	2870
361	1633	2878
362	1634	2869
363	1636	2859
364	1637	2849
365	1649	2856
